Source,Target,Mol1_ID,Mol2_ID,Mol1_Activity,Mol2_Activity,Tanimoto_Similarity,Activity_Difference,Activity_Similarity,SALI,Type
301,270,301,270,2.572778832,7.087520304,0.5,4.514741472,0.5485258528000452,9.029482943981941,Other
67,201,67,201,8.599205097,4.554140764,0.55,4.045064333000001,0.5954935667000404,8.98903185109114,Other
201,67,201,67,4.554140764,8.599205097,0.55,4.045064333000001,0.5954935667000404,8.98903185109114,Other
301,210,301,210,2.572778832,6.42321693,0.571428571,3.8504380979999997,0.6149561902000386,8.98435555299468,Other
210,301,210,301,6.42321693,2.572778832,0.571428571,3.8504380979999997,0.6149561902000386,8.98435555299468,Other
55,226,55,226,7.306877373,3.794130063,0.608695652,3.51274731,0.6487252690000351,8.977020899320605,Activity Cliff
215,171,215,171,3.28392722,7.351060641,0.545454545,4.067133421,0.5932866579000406,8.947693517232622,Other
171,215,171,215,7.351060641,3.28392722,0.545454545,4.067133421,0.5932866579000406,8.947693517232622,Other
19,20,19,20,2.869477425,6.758805223,0.565217391,3.8893277980000005,0.6110672202000389,8.94545392911761,Other
20,19,20,19,6.758805223,2.869477425,0.565217391,3.8893277980000005,0.6110672202000389,8.94545392911761,Other
67,2,67,2,8.599205097,4.84862167,0.578947368,3.7505834270000005,0.6249416573000375,8.90763563019621,Activity Cliff
2,67,2,67,4.84862167,8.599205097,0.578947368,3.7505834270000005,0.6249416573000375,8.90763563019621,Activity Cliff
253,123,253,123,3.860561815,6.724378872,0.677419355,2.863817057,0.7136182943000287,8.877832881111393,Activity Cliff
123,253,123,253,6.724378872,3.860561815,0.677419355,2.863817057,0.7136182943000287,8.877832881111393,Activity Cliff
189,54,189,54,5.202344967,1.352748697,0.5625,3.84959627,0.6150403730000384,8.799077188551317,Other
218,203,218,203,6.799673285,3.423331102,0.615384615,3.3763421829999998,0.6623657817000338,8.778489666998686,Activity Cliff
203,218,203,218,3.423331102,6.799673285,0.615384615,3.3763421829999998,0.6623657817000338,8.778489666998686,Activity Cliff
208,50,208,50,6.797522325,3.095879083,0.576923077,3.7016432420000003,0.629835675800037,8.74933857357011,Other
119,199,119,199,4.359608812,7.844851726,0.6,3.4852429139999996,0.6514757086000349,8.713107284978216,Activity Cliff
199,119,199,119,7.844851726,4.359608812,0.6,3.4852429139999996,0.6514757086000349,8.713107284978216,Activity Cliff
43,297,43,297,5.235499927,0.91924935,0.5,4.316250577,0.5683749423000432,8.632501153982735,Other
297,273,297,273,0.91924935,4.709506618,0.56,3.790257268,0.6209742732000378,8.614221063616787,Other
273,297,273,297,4.709506618,0.91924935,0.56,3.790257268,0.6209742732000378,8.614221063616787,Other
172,74,172,74,1.946565265,6.610258504,0.458333333,4.663693239,0.5336306761000467,8.609895205147247,Other
282,205,282,205,1.904285794,5.680705599,0.56,3.7764198050000006,0.6223580195000378,8.582772284071405,Other
163,128,163,128,2.722555124,7.817865419,0.4,5.095310295000001,0.4904689705000509,8.49218382498585,Other
74,59,74,59,6.610258504,2.570525704,0.523809524,4.0397327999999995,0.5960267200000404,8.48343888337556,Other
59,74,59,74,2.570525704,6.610258504,0.523809524,4.0397327999999995,0.5960267200000404,8.48343888337556,Other
144,212,144,212,4.497446405,8.881820379,0.482758621,4.384373974000001,0.5615626026000438,8.47645635480282,Other
212,144,212,144,8.881820379,4.497446405,0.482758621,4.384373974000001,0.5615626026000438,8.47645635480282,Other
77,25,77,25,3.377222551,0.0,0.6,3.377222551,0.6622777449000338,8.443056377478893,Activity Cliff
25,77,25,77,0.0,3.377222551,0.6,3.377222551,0.6622777449000338,8.443056377478893,Activity Cliff
269,109,269,109,5.490206081,8.558134234,0.636363636,3.0679281530000004,0.6932071847000306,8.436802412289998,Activity Cliff
109,269,109,269,8.558134234,5.490206081,0.636363636,3.0679281530000004,0.6932071847000306,8.436802412289998,Activity Cliff
171,173,171,173,7.351060641,3.316313111,0.517241379,4.034747530000001,0.5965252470000403,8.357691306752745,Other
173,171,173,171,3.316313111,7.351060641,0.517241379,4.034747530000001,0.5965252470000403,8.357691306752745,Other
181,92,181,92,3.828807254,7.050724185,0.612903226,3.221916931,0.6778083069000322,8.323285409223475,Activity Cliff
92,181,92,181,7.050724185,3.828807254,0.612903226,3.221916931,0.6778083069000322,8.323285409223475,Activity Cliff
97,182,97,182,5.798465449,1.80640614,0.52,3.992059309,0.60079406910004,8.316790227066008,Other
182,97,182,97,1.80640614,5.798465449,0.52,3.992059309,0.60079406910004,8.316790227066008,Other
104,258,104,258,1.74865618,6.226154004,0.461538462,4.477497823999999,0.5522502176000448,8.315353108826288,Other
258,104,258,104,6.226154004,1.74865618,0.461538462,4.477497823999999,0.5522502176000448,8.315353108826288,Other
307,187,307,187,0.656214401,5.398369813,0.428571429,4.742155412000001,0.5257844588000473,8.298771977209558,Other
187,307,187,307,5.398369813,0.656214401,0.428571429,4.742155412000001,0.5257844588000473,8.298771977209558,Other
198,237,198,237,6.379861732,1.406874196,0.4,4.972987536,0.5027012464000498,8.288312559986187,Other
237,198,237,198,1.406874196,6.379861732,0.4,4.972987536,0.5027012464000498,8.288312559986187,Other
112,54,112,54,5.113936347,1.352748697,0.545454545,3.76118765,0.6238812350000376,8.274612821707183,Other
270,305,270,305,7.087520304,3.124234298,0.52,3.9632860059999997,0.6036713994000397,8.256845845816132,Other
109,299,109,299,8.558134234,4.93079837,0.56,3.627335864000001,0.6372664136000362,8.243945145435813,Other
299,109,299,109,4.93079837,8.558134234,0.56,3.627335864000001,0.6372664136000362,8.243945145435813,Other
307,271,307,271,0.656214401,5.349530813,0.428571429,4.693316412000001,0.5306683588000469,8.213303727145606,Other
271,307,271,307,5.349530813,0.656214401,0.428571429,4.693316412000001,0.5306683588000469,8.213303727145606,Other
255,0,255,0,5.927492113,1.656789972,0.47826087,4.270702140999999,0.5729297859000428,8.185512443722237,Other
0,255,0,255,1.656789972,5.927492113,0.47826087,4.270702140999999,0.5729297859000428,8.185512443722237,Other
281,37,281,37,0.28970954,3.974664579,0.548387097,3.684955039,0.6315044961000369,8.159543304704561,Other
54,306,54,306,1.352748697,4.615785498,0.6,3.263036801,0.6736963199000325,8.157592002479607,Activity Cliff
306,54,306,54,4.615785498,1.352748697,0.6,3.263036801,0.6736963199000325,8.157592002479607,Activity Cliff
103,107,103,107,1.061147792,4.969222324,0.52,3.9080745320000005,0.609192546800039,8.141821941649706,Other
